Country,Revenue,Orders,Quantity
United Kingdom,9001744.094,18019,4646906
Netherlands,285446.34,94,200361
EIRE,283140.52,288,147007
Germany,228678.4,457,119154
France,209625.37,392,112060
Australia,138453.81,57,83891
Spain,61558.56,90,27933
Switzerland,57067.6,54,30617
Belgium,41196.34,98,23237
Sweden,38367.83,36,36078
Japan,37416.369999999995,19,26016
Norway,36165.44,36,19336
Portugal,33683.05,58,16231
Finland,22546.08,41,10704
Singapore,21279.29,7,5241
Channel Islands,20440.54,26,9485
Denmark,18955.34,18,8235
Italy,17483.24,38,8112
Hong Kong,15483.0,11,4713
Cyprus,13502.85,16,6340
Austria,10198.68,17,4881
Israel,8129.41,8,4406
Poland,7334.65,19,3684
Greece,4760.52,5,1557
Unspecified,4740.94,13,3295
Iceland,4310.0,7,2458
Canada,3666.38,6,2763
USA,3580.39,5,2458
Malta,2725.59,5,970
United Arab Emirates,1902.28,3,982
Lebanon,1693.88,1,386
Lithuania,1661.06,4,652
European Community,1300.25,4,499
Brazil,1143.6,1,356
RSA,1002.3100000000001,1,351
Czech Republic,826.74,2,671
Bahrain,754.14,3,314
Saudi Arabia,145.92,1,80
