hotel,arrival_date,arrival_year,arrival_month_num,arrival_date_month,lead_time,lead_time_category,total_guests,total_nights,is_cancelled,adr,estimated_revenue,market_segment,distribution_channel,customer_type,meal,country,deposit_type,reservation_status
Resort Hotel,2015-07-01,2015,7,July,342,>90 days,2.0,0,False,0.0,0.0,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,737,>90 days,2.0,0,False,0.0,0.0,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,7,0-30 days,1.0,1,False,75.0,75.0,Direct,Direct,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,13,0-30 days,1.0,1,False,75.0,75.0,Corporate,Corporate,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,14,0-30 days,2.0,2,False,98.0,196.0,Online TA,TA/TO,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,0,0-30 days,2.0,2,False,107.0,214.0,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,9,0-30 days,2.0,2,False,103.0,206.0,Direct,Direct,Transient,FB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,85,31-90 days,2.0,3,True,82.0,246.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-01,2015,7,July,75,31-90 days,2.0,3,True,105.5,316.5,Offline TA/TO,TA/TO,Transient,HB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-01,2015,7,July,23,0-30 days,2.0,4,True,123.0,492.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-01,2015,7,July,35,31-90 days,2.0,4,False,145.0,580.0,Online TA,TA/TO,Transient,HB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,68,31-90 days,2.0,4,False,97.0,388.0,Online TA,TA/TO,Transient,BB,USA,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,18,0-30 days,3.0,4,False,154.77,619.08,Online TA,TA/TO,Transient,HB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,37,31-90 days,2.0,4,False,94.71,378.84,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,68,31-90 days,2.0,4,False,97.0,388.0,Online TA,TA/TO,Transient,BB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,37,31-90 days,2.0,4,False,97.5,390.0,Offline TA/TO,TA/TO,Contract,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,12,0-30 days,2.0,1,False,88.2,88.2,Online TA,TA/TO,Transient,BB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,0,0-30 days,2.0,1,False,107.42,107.42,Corporate,Corporate,Transient,BB,FRA,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,7,0-30 days,2.0,4,False,153.0,612.0,Direct,Direct,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,37,31-90 days,1.0,5,False,97.29,486.45000000000005,Online TA,TA/TO,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,72,31-90 days,2.0,6,False,84.67,508.02,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,72,31-90 days,2.0,6,False,99.67,598.02,Direct,Direct,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,127,>90 days,2.0,7,False,94.95,664.65,Offline TA/TO,TA/TO,Contract,HB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,78,31-90 days,2.0,7,False,63.6,445.2,Offline TA/TO,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,48,31-90 days,2.0,7,False,79.5,556.5,Offline TA/TO,TA/TO,Contract,BB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,60,31-90 days,2.0,7,True,107.0,749.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-01,2015,7,July,77,31-90 days,2.0,7,False,94.0,658.0,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,99,>90 days,2.0,7,False,87.3,611.1,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,118,>90 days,1.0,14,False,62.0,868.0,Direct,Direct,Transient,BB,Unknown,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,95,>90 days,2.0,15,False,63.86,957.9,Offline TA/TO,TA/TO,Transient,BB,GBR,No Deposit,Check-Out
Resort Hotel,2015-07-01,2015,7,July,96,>90 days,2.0,10,True,108.3,1083.0,Direct,Direct,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-02,2015,7,July,69,31-90 days,2.0,6,False,65.5,393.0,Offline TA/TO,TA/TO,Transient,BB,IRL,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,45,31-90 days,3.0,4,True,108.8,435.2,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-02,2015,7,July,40,31-90 days,3.0,4,True,108.8,435.2,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-02,2015,7,July,15,0-30 days,2.0,4,False,98.0,392.0,Online TA,TA/TO,Transient,BB,ESP,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,36,31-90 days,3.0,4,False,108.8,435.2,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,43,31-90 days,3.0,4,True,108.8,435.2,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-02,2015,7,July,70,31-90 days,2.0,5,False,137.0,685.0,Direct,Direct,Transient,HB,ROU,No Deposit,Check-Out
Resort Hotel,2015-07-02,2015,7,July,45,31-90 days,2.0,5,True,117.81,589.05,Online TA,TA/TO,Transient,BB,PRT,No Deposit,Canceled
Resort Hotel,2015-07-02,2015,7,July,45,31-90 days,2.0,5,False,79.5,397.5,Offline TA/TO,TA/TO,Contract,BB,IRL,No Deposit,Check-Out
